1,"""Take a breath, and from count from 1 to 20""",1-1-Counting
1,"""Take a deep breath, and say ah for as long and as steadily as you can.""",1-2-phonation
1,"""Take a deep breath, and repeat puh-puh-puh for as long and as steadily as you can""",1-3-AMR-p
1,"""Take a deep breath, and repeat tuh-tuh-tuh for as long and as steadily as you can""",1-4-AMR-t
1,"""Take a deep breath, and repeat  kuh-kuh-kuh for as long and as steadily as you can""",1-5-AMR-k
2,"""Take a deep breath, and repeat puh-tuh-kuh for as long and as steadily as you can""",1-6-SMR
2,gingerbread,2-1-gingerbread
2,volcano,2-2-volcano
2,harmonica,2-3-harmonica
2,stethoscope,2-4-stethoscope
2,spaghetti,2-5-spaghetti
3,constitution,2-6-constitution
3,"""Repeat the word artillery five times""",3-1-artilleryx5
3,"""Repeat the word impossibility five times""",3-2-impossibilityx5
3,"""Repeat the word catastrophe five times""",3-3-catastrophex5
4,"""Repeat the word rhinoceros five times""",3-4-rhinocerosx5
4,peep,4-1-peep
4,bib,4-2-bib
4,nine,4-3-nine
4,tot,4-4-tot
4,dad,4-5-dad
4,mom,4-6-mom
4,kick,4-7-kick
4,gag,4-8-gag
4,fife,4-9-fife
4,sis,4-10-sis
4,zoos,4-11-zoos
4,church,4-12-church
4,lull,4-13-lull
4,roar,4-14-roar
4,shush,4-15-shush
5,judge,4-16-judge
5,thick,5-1-thick
5,thicker,5-2-thicker
5,thickening,5-3-thickening
5,jab,5-4-jab
5,jabber,5-5-jabber
5,jabbering,5-6-jabbering
5,zip,5-7-zip
5,zipper,5-8-zipper
5,zippering,5-9-zippering
5,flat,5-10-flat
5,flatter,5-11-flatter
6,flattering,5-12-flattering
6,"""Please put the groceries in the refrigerator.""",6-1-groceries
6,"""Arthur was an oozy, oily sneak.""",6-2-oilysneak
6,"""In the summer they sell vegetables.""",6-3-vegetables
6,"""The shipwreck washed up on the shore.""",6-4-shipwreck
7,"""The valuable watch was missing.""",6-5-watch
7,"""Now you will hear some words that are not real words but sound like they might be. Repeat these words after me.""   -   splant",7-1-splant
7,pelter,7-2-pelter
7,cleast,7-3-cleast
7,gaffic,7-4-gaffic
7,slurch,7-5-slurch
7,lerman,7-6-lerman
7,drange,7-7-drange
7,truggle,7-8-truggle
7,sprawn,7-9-sprawn
7,stirple,7-10-stirple